,Country,Location,Coordinates,Operational date,Number of rocket launches,Heaviest rocket launched,Highest achieved altitude,Notes,coordinates (dms),lat (dms),long (dms),coordinates (decimal),lat (decimal),long (decimal),rotational_vel
84,United States,"Vandenberg Space Force Base, California",34°46′19″N 120°36′04″W﻿ / ﻿34.77204°N 120.60124°W,1958–,500+,,Interplanetary,"Satellites, ballistic missile tests. Government and commercial launches.[62] Also launches SpaceX rockets.",34°46′19″N 120°36′04″W﻿ ,34°46′19″N,120°36′04″W﻿, ﻿34.77204°N 120.60124°W,34.77204,-120.60124,382.0473216701659
85,United States,"Kennedy Space Center, Florida",28°36′30″N 80°36′14″W﻿ / ﻿28.6082°N 80.6040°W,1962–,151,3 000 000 kg,Interplanetary,Launched each NASA manned mission. Adjacent to Cape Canaveral Air Force Station.,28°36′30″N 80°36′14″W﻿ ,28°36′30″N,80°36′14″W﻿, ﻿28.6082°N 80.6040°W,28.6082,-80.6040,408.3194435333346
86,United States,"Pacific Missile Range Facility, Hawaii",22°01′22″N 159°47′06″W﻿ / ﻿22.02278°N 159.785°W,1963–,,,,Used for testing of antiballistic missile and missile tracking by the US Navy.,22°01′22″N 159°47′06″W﻿ ,22°01′22″N,159°47′06″W﻿, ﻿22.02278°N 159.785°W,22.02278,-159.785,431.1654147827571
87,United States,"Keweenaw, Michigan",47°25′47″N 87°42′52″W﻿ / ﻿47.42980°N 87.71443°W,1964–1971[citation needed],50+,770 kg,<160 km,Currently inactive,47°25′47″N 87°42′52″W﻿ ,47°25′47″N,87°42′52″W﻿, ﻿47.42980°N 87.71443°W,47.42980,-87.71443,314.6380087729624
88,United States,"Pacific Spaceport Complex, Kodiak, Alaska",57°26′07″N 152°20′22″W﻿ / ﻿57.43533°N 152.33931°W,1991–,26,86 000 kg,Orbital,"Ballistic missile interceptor tests, satellite launches. Alaska Aerospace Corporation.[63]",57°26′07″N 152°20′22″W﻿ ,57°26′07″N,152°20′22″W﻿, ﻿57.43533°N 152.33931°W,57.43533,-152.33931,250.34151204075363
89,United States,"Mid-Atlantic Regional Spaceport (MARS), Delmarva Peninsula, Virginia",37°50′00″N 75°29′00″W﻿ / ﻿37.833378°N 75.483284°W,1995–,22,89 805 kg,Lunar,"Operates in partnership with NASA, adjacent to Wallops Flight Facility. Designed for both commercial and government launches.[64]",37°50′00″N 75°29′00″W﻿ ,37°50′00″N,75°29′00″W﻿, ﻿37.833378°N 75.483284°W,37.833378,-75.483284,367.336254591988
90,United States,"Mojave Air and Space Port, California",35°03′33″N 118°08′56″W﻿ / ﻿35.05910°N 118.14880°W,2003–,20+,,112 km,"Adjacent to Edwards AFB. Privately funded, horizontal-launch spaceport. Xoie, Xombie, Xodiac (Masten Space Systems); SpaceShipOne, SpaceShipTwo (Scaled Composites, Virgin Galactic); Launcher One (Virgin Orbit).",35°03′33″N 118°08′56″W﻿ ,35°03′33″N,118°08′56″W﻿, ﻿35.05910°N 118.14880°W,35.05910,-118.14880,380.7135749934524
91,United States,"Spaceport America, Upham, New Mexico",32°53′22″N 106°59′58″W﻿ / ﻿32.88943°N 106.99945°W,2006–,50+,,,Sub-orbital commercial and planned space tourist launches. Operated by the state of New Mexico with Virgin Galactic as the anchor tenant.[65][66][67][68] Adjacent to White Sands Missile Range.,32°53′22″N 106°59′58″W﻿ ,32°53′22″N,106°59′58″W﻿, ﻿32.88943°N 106.99945°W,32.88943,-106.99945,390.55516510884536
92,Argentina,Puerto Belgrano,38°57′46″S 61°42′54″W﻿ / ﻿38.9628°S 61.715°W,TBA,,,,Launch pad for Tronador II under construction (CONAE),38°57′46″S 61°42′54″W﻿ ,38°57′46″S,61°42′54″W﻿, ﻿38.9628°S 61.715°W,-38.9628,-61.715,361.641813555814
93,Argentina,Punta Indio,35°31′26″S 57°11′02″W﻿ / ﻿35.523889°S 57.183889°W,2014–,3,7 076 kg [82],2.2 km,Civilian Launch Test Site (CONAE),35°31′26″S 57°11′02″W﻿ ,35°31′26″S,57°11′02″W﻿, ﻿35.523889°S 57.183889°W,-35.523889,-57.183889,378.53381008731344
94,Argentina,CELPA,30°07′39″S 66°20′27″W﻿ / ﻿30.12737°S 66.34082°W,1962–1974 / 2011–,100 (approximately),933 kg,550 km,Military Launch Test Site (CITIDEF),30°07′39″S 66°20′27″W﻿ ,30°07′39″S,66°20′27″W﻿, ﻿30.12737°S 66.34082°W,-30.12737,-66.34082,402.2718639845202
95,Argentina,Serrezuela,30°38′00″S 65°23′00″W﻿ / ﻿30.6333°S 65.3833°W,2009,1,500 kg,40 km,Military test (Gradicom I),30°38′00″S 65°23′00″W﻿ ,30°38′00″S,65°23′00″W﻿, ﻿30.6333°S 65.3833°W,-30.6333,-65.3833,400.1948492341376
96,Argentina,Las Palmas,27°05′43″S 58°45′13″W﻿ / ﻿27.09531°S 58.75352°W,1966–1966,2,3 400 kg,270 km,"During a solar eclipse, with Titus rockets.",27°05′43″S 58°45′13″W﻿ ,27°05′43″S,58°45′13″W﻿, ﻿27.09531°S 58.75352°W,-27.09531,-58.75352,414.0567666146625
97,Argentina,Tartagal,22°45′42″S 63°49′26″W﻿ / ﻿22.76158°S 63.82381°W,1966–1966,,,,During a solar eclipse,22°45′42″S 63°49′26″W﻿ ,22°45′42″S,63°49′26″W﻿, ﻿22.76158°S 63.82381°W,-22.76158,-63.82381,428.88081329342714
98,Argentina,Mar Chiquita,37°43′27″S 57°24′18″W﻿ / ﻿37.72427°S 57.40512°W,1968–1972,11,,,,37°43′27″S 57°24′18″W﻿ ,37°43′27″S,57°24′18″W﻿, ﻿37.72427°S 57.40512°W,-37.72427,-57.40512,367.8788415709926
99,Argentina,Villa Reynolds,33°43′29″S 65°22′38″W﻿ / ﻿33.72460°S 65.37730°W,1973–1973,2,,,,33°43′29″S 65°22′38″W﻿ ,33°43′29″S,65°22′38″W﻿, ﻿33.72460°S 65.37730°W,-33.72460,-65.37730,386.8323831561582
100,Argentina,Pampa de Achala,31°35′00″S 64°50′00″W﻿ / ﻿31.5833°S 64.8333°W,1961–1962,8,28 kg,25 km,First Argentine launch site.,31°35′00″S 64°50′00″W﻿ ,31°35′00″S,64°50′00″W﻿, ﻿31.5833°S 64.8333°W,-31.5833,-64.8333,396.21060014567627
101,Brazil,Natal/Barreira,5°51′58″S 35°22′59″W﻿ / ﻿5.86600°S 35.38300°W,1965–,233,,1100 km,,5°51′58″S 35°22′59″W﻿ ,5°51′58″S,35°22′59″W﻿, ﻿5.86600°S 35.38300°W,-5.86600,-35.38300,462.6661886994021
102,Brazil,Praia do Cassino,32°05′00″S 52°10′02″W﻿ / ﻿32.08338°S 52.16725°W,1966–1966,27,,,,32°05′00″S 52°10′02″W﻿ ,32°05′00″S,52°10′02″W﻿, ﻿32.08338°S 52.16725°W,-32.08338,-52.16725,394.06946125690797
103,Brazil,"Alcântara Launch Center, Maranhão",2°18′58″S 44°22′03″W﻿ / ﻿2.3160°S 44.3676°W,1990–,35,6 737 kg,956 km,"Brazilian Air Force, Brazilian Space Agency. Planned satellite launches.",2°18′58″S 44°22′03″W﻿ ,2°18′58″S,44°22′03″W﻿, ﻿2.3160°S 44.3676°W,-2.3160,-44.3676,464.72170950647484
104,French Guiana,"Guiana Space Centre, Kourou",5°14′15″N 52°46′10″W﻿ / ﻿5.23739°N 52.76950°W,1968–,<200,777 000 kg,Interplanetary,Operated by CNES for ESA; launch base for Arianespace. Commercial and governmental launches.,5°14′15″N 52°46′10″W﻿ ,5°14′15″N,52°46′10″W﻿, ﻿5.23739°N 52.76950°W,5.23739,-52.76950,463.15984821280614
105,Peru,Chilca Launch Range,12°30′17″S 76°47′55″W﻿ / ﻿12.50477°S 76.79849°W,1974-1983,<65,,590 km,Sounding rocket launch location.[83],12°30′17″S 76°47′55″W﻿ ,12°30′17″S,76°47′55″W﻿, ﻿12.50477°S 76.79849°W,-12.50477,-76.79849,454.06848016655186
106,Peru,"Chilca PLOB, Punta Lobos Range",12°30′00″S 76°48′00″W﻿ / ﻿12.50000°S 76.8000°W,1983,32,2 000 kg,590 km,"Sounding rocket launch location. Possibly part of, or identical to, Chilca Launch Range. [84][85]",12°30′00″S 76°48′00″W﻿ ,12°30′00″S,76°48′00″W﻿, ﻿12.50000°S 76.8000°W,-12.50000,-76.8000,454.0768624413326
107,Dutch Suriname,Coronie,5°52′21″N 56°17′21″W﻿ / ﻿5.87241°N 56.28908°W,1965–1965,4,,205 km,,5°52′21″N 56°17′21″W﻿ ,5°52′21″N,56°17′21″W﻿, ﻿5.87241°N 56.28908°W,5.87241,-56.28908,462.6608678605649
108,Australia,"Woomera Test Range, SA",30°57′31″S 136°30′13″E﻿ / ﻿30.95875°S 136.50366°E,1950s–,,28 000 kg,Orbital,"Australian government research facility. Missile testing, 2 satellite launches.",30°57′31″S 136°30′13″E﻿ ,30°57′31″S,136°30′13″E﻿, ﻿30.95875°S 136.50366°E,-30.95875,136.50366,398.84226384836916
109,Australia,"Carnarvon, WA",24°29′08″S 113°24′31″E﻿ / ﻿24.48564°S 113.40866°E,1964–1965,12.0,,120 km,,24°29′08″S 113°24′31″E﻿ ,24°29′08″S,113°24′31″E﻿, ﻿24.48564°S 113.40866°E,-24.48564,113.40866,423.2727953182576
110,Australia,"Lancelin, WA",30°58′59″S 115°19′04″E﻿ / ﻿30.98309°S 115.31774°E,1974–1974,2.0,,,During a total solar eclipse,30°58′59″S 115°19′04″E﻿ ,30°58′59″S,115°19′04″E﻿, ﻿30.98309°S 115.31774°E,-30.98309,115.31774,398.74058793596515
111,Australia,"Koonibba Test Range, SA",31°53′08″S 133°26′55″E﻿ / ﻿31.885558°S 133.448686°E,2020–,2.0,,85 km,,31°53′08″S 133°26′55″E﻿ ,31°53′08″S,133°26′55″E﻿, ﻿31.885558°S 133.448686°E,-31.885558,133.448686,394.9200523972356
112,Australia,"Whalers Way Orbital Launch Complex, SA",34°56′02″S 135°39′08″E﻿ / ﻿34.934°S 135.6523°E,2020?–,,,,Proposed,34°56′02″S 135°39′08″E﻿ ,34°56′02″S,135°39′08″E﻿, ﻿34.934°S 135.6523°E,-34.934,135.6523,381.2959951582887
114,Marshall Islands,"Reagan Test Site, Omelek Island, Kwajalein Atoll",9°02′53″N 167°44′35″E﻿ / ﻿9.048167°N 167.743083°E,1950s–,,39 000 kg,Orbital,US-controlled ICBM base converted for satellites. SpaceX Falcon 1. Close to the equator.,9°02′53″N 167°44′35″E﻿ ,9°02′53″N,167°44′35″E﻿, ﻿9.048167°N 167.743083°E,9.048167,167.743083,459.3141273649162
115,New Zealand,Birdling's Flat,43°49′01″S 172°40′59″E﻿ / ﻿43.81700°S 172.68300°E,,,,,"Formerly proposed launch site for Rocket Lab, never developed.",43°49′01″S 172°40′59″E﻿ ,43°49′01″S,172°40′59″E﻿, ﻿43.81700°S 172.68300°E,-43.81700,172.68300,335.5963277560084
116,New Zealand,Mahia,39°15′38″S 177°51′52″E﻿ / ﻿39.26044°S 177.86431°E,2017–,13.0,10 500 kg,Orbital,First commercial spaceport in the southern hemisphere.,39°15′38″S 177°51′52″E﻿ ,39°15′38″S,177°51′52″E﻿, ﻿39.26044°S 177.86431°E,-39.26044,177.86431,360.1176535397756
119,Denmark,MLP Sputnik,55°02′57″N 15°36′11″E﻿ / ﻿55.04917°N 15.60306°E,2010–,4,1 630 kg,8.2 km,Mobile satellite launch platform operated by Copenhagen Suborbitals.,55°02′57″N 15°36′11″E﻿ ,55°02′57″N,15°36′11″E﻿, ﻿55.04917°N 15.60306°E,55.04917,15.60306,266.4442797208645
